id,name,proper,bf,ra,dec,mag,ci,dist,x,y,z,spect,con
62866,,,,12.92206700,-42.91573200,5.460,1.668,202.839800,-144.243691,-35.512316,-138.118036,M0III,Cen
62876,Taiyi,Taiyi,8    Dra,12.92459800,65.43847400,5.230,0.303,29.291200,-11.820552,-2.918495,26.640872,A5n,Dra
62890,Minelauva,Minelauva,43Del Vir,12.92672500,3.39747000,3.390,1.571,60.827300,-58.941910,-14.587593,3.604756,M3III,Vir
62918,,,,12.93253800,-56.83580600,5.340,0.010,100000.000000,-53081.833261,-13223.037764,-83710.634224,O9Ib,Cru
62921,Cor Caroli B,Cor Caroli B,12Alp1CVn,12.93346800,38.31491200,5.610,0.337,36.900400,-28.092342,-7.005189,22.877614,F0V,CVn
62925,Cor Caroli,Cor Caroli,12Alp2CVn,12.93380700,38.31838000,2.890,-0.115,35.198900,-26.795114,-6.684223,21.824384,A0spe...,CVn
62943,,,,12.93822100,54.09948900,5.840,0.204,86.655100,-49.287657,-12.355684,70.193750,A5m,UMa
62963,,,,12.94214200,-72.18521200,5.930,1.115,176.366800,-52.324869,-13.174210,-167.910178,G8III,Mus
63008,,,,12.95121200,-51.19875200,5.170,-0.066,112.994400,-68.620661,-17.450553,-88.059458,B8V,Cen
63138,,,,12.97980900,75.47250800,6.000,1.030,166.113000,-40.305109,-10.571759,160.801804,K0III,Dra
63153,36    Com,,36    Com,12.98206800,17.40944600,4.760,1.568,99.403600,-91.732311,-24.118592,29.741363,M0III,Com
63212,44    Vir,,44    Vir,12.99431000,-3.81192600,5.790,0.203,77.942300,-75.149664,-20.016363,-5.181717,A3V,Vir
63230,9    Dra,,9    Dra,12.99866500,66.59727200,5.370,1.282,191.570900,-73.504586,-19.667256,175.811210,K2III,Dra
63259,37    Com,,37    Com,13.00457600,30.78502100,4.880,1.165,202.429100,-167.925753,-45.211219,103.606856,K1IIIp,Com
63291,46    Vir,,46    Vir,13.00998500,-3.36848800,5.990,1.119,100.300900,-96.647967,-26.167726,-5.893426,K2III,Vir
63300,78    UMa,,78    UMa,13.01212500,56.36633800,4.930,0.368,25.445300,-13.601724,-3.690939,21.185580,F2V,UMa
63330,38    Com,,38    Com,13.01933700,17.12314700,5.970,0.971,124.688300,-114.943402,-31.423526,36.711515,K0III,Com
63405,Vindemiatrix,Vindemiatrix,47Eps Vir,13.03627800,10.95915000,2.850,0.934,33.602200,-31.782664,-8.840495,6.388060,G8IIIvar,Vir
63411,Del Mus,,Del Mus,13.03775900,-71.54885500,3.610,1.190,27.870700,-8.497455,-2.367379,-26.438289,K2III,Mus
63485,,,,13.05148700,-71.47572900,5.930,0.002,306.748500,-93.786691,-26.489903,-290.855559,B1.5IIIne,Mus
63521,Xi 1Cen,,Xi 1Cen,13.05925600,-49.52726400,4.830,0.029,67.613300,-42.210157,-12.014940,-51.434446,A0V,Cen
63535,,,,13.06280800,-20.58349700,5.580,0.554,28.208700,-25.392435,-7.253425,-9.917473,F7V,Vir
63698,14    CVn,,14    CVn,13.09567800,35.79889900,5.200,-0.059,104.384100,-81.203956,-23.953765,61.058585,B9V,CVn
63713,,,,13.09785300,45.26855000,5.640,1.135,132.626000,-89.511158,-26.459670,94.219142,K1III,CVn
63742,,,,13.10464200,-48.46328900,4.710,-0.148,119.617200,-76.024410,-22.619947,-89.537224,B5V,Cen
63745,39    Com,,39    Com,13.10590100,21.15339700,6.000,0.393,49.677100,-44.401498,-13.226958,17.926786,F4V,Com
63747,40    Com,,40    Com,13.10627800,22.61618700,5.530,1.461,225.733600,-199.696521,-59.510028,86.807221,M5III,Com
63769,,,,13.10974300,-41.58844300,5.590,1.050,105.596600,-75.669237,-22.624395,-70.092433,K0II/III,Cen
63800,,,,13.11506900,-35.86203300,5.630,0.050,76.804900,-59.611628,-17.913901,-44.995118,A0V,Cen
63801,Xi 2Cen,,Xi 2Cen,13.11518000,-49.90624600,4.270,-0.182,143.266500,-88.364964,-26.557271,-109.597766,B1.5V,Cen
63819,41    Com,,41    Com,13.11964600,27.62474100,4.800,1.482,101.626000,-86.200274,-26.016708,47.121741,K5III,Com
63830,,,,13.12341800,-59.86051000,5.980,0.435,170.068000,-81.725646,-24.754190,-147.075782,B9IV+...,Cen
63851,,,,13.12730500,-53.45976400,5.700,-0.061,100.100100,-57.021709,-17.334867,-80.424478,B8V,Cen
63875,49    Vir,,49    Vir,13.13161400,-10.74040800,5.150,1.138,94.250700,-88.565516,-27.033624,-17.564504,K2III,Vir
63891,The Mus,,The Mus,13.13532100,-65.30602300,5.440,-0.033,100000.000000,-39945.336394,-12235.234419,-90855.209476,WC6 + O9.5I,Mus
63919,,,,13.14235200,-8.98438500,5.570,1.178,97.087400,-91.639702,-28.253828,-15.161703,K3III,Vir
63963,45Psi Hya,,45Psi Hya,13.15090900,-23.11807000,4.940,1.048,70.972300,-62.332323,-19.370955,-27.865588,K0III,Hya
63976,,,,13.15345400,10.02246800,5.790,1.025,94.518000,-88.864068,-27.681165,16.449378,K0III,Vir
64021,50    Vir,,50    Vir,13.16257800,-10.32932700,5.950,1.490,212.766000,-199.697127,-62.729311,-38.150164,K5III,Vir
64023,,,,13.16329100,16.84861100,5.910,1.450,206.185600,-188.253833,-59.173346,59.761597,K5III,Com
64034,51The Vir,,51The Vir,13.16583100,-5.53901000,4.380,-0.008,96.805400,-91.900170,-28.953908,-9.343987,A1V,Vir
64037,Diadem,Diadem,42Alp Com,13.16646900,17.52943100,4.320,0.455,17.825300,-16.211012,-5.110375,5.368871,F5V,Com
64042,17    CVn,,17    CVn,13.16756300,38.49898100,5.910,0.294,63.291100,-47.236707,-14.905822,39.398664,A9III-IV,CVn
64128,,,,13.18580500,-42.23289100,5.780,0.521,84.889600,-59.849297,-19.200532,-57.058117,F7IV,Cen
64144,,,,13.18978900,-43.36855300,5.240,1.049,68.166300,-47.169018,-15.186764,-46.808967,K1/K2III,Cen
64185,,,,13.19761200,-69.94201700,5.920,0.415,42.105300,-13.736902,-4.453939,-39.551505,F3IV/V,Mus
64189,43Bet Com,,43Bet Com,13.19790400,27.87818300,4.230,0.572,9.129100,-7.676072,-2.489414,4.268726,G0V,Com
64202,,,,13.20090100,-37.80302200,4.850,0.693,20.669700,-15.531004,-5.050305,-12.669384,G3V,Cen
64203,53    Vir,,53    Vir,13.20098400,-16.19860100,5.040,0.460,33.909800,-30.967114,-10.070647,-9.459703,F6V,Vir
64220,,,,13.20489200,-59.92057900,4.580,-0.073,116.144000,-55.339290,-18.059147,-100.503154,B8V,Cen
64240,,,,13.20914500,11.55609600,5.760,1.499,257.069400,-239.344724,-78.401820,51.498049,M0III,Vir
64261,,,,13.21355000,-66.22674700,5.910,0.048,90.744100,-34.749904,-11.427435,-83.044351,A0V(n),Mus
64310,,,,13.22315600,-50.69982900,5.900,-0.011,112.233400,-67.473115,-22.376408,-86.850498,B9V,Cen
